"power","time","gas","pressure","target","campaign","initial"
252,8125,"Argon",60,3.683281061,3,FALSE
271,8234,"Argon",60,5.144606243,3,FALSE
275,2045,"Argon",70,2.890333769,3,FALSE
258,8132,"Argon",100,3.644787806,3,FALSE
272,8216,"Argon",50,3.59194861,3,FALSE
260,8140,"Argon",70,5.006442303,3,FALSE
222,8136,"Argon",70,5.689905919,3,FALSE
156,8135,"Argon",80,3.155254963,3,FALSE
193,8136,"Argon",80,1.430774868,3,FALSE
217,8136,"Argon",70,1.238117827,3,FALSE
222,8137,"Argon",70,2.60632477,3,FALSE
229,8136,"Argon",70,1.675877567,3,FALSE
271,8138,"Argon",70,2.824218133,3,FALSE
1859,8249,"Argon",100,2.104164528,3,FALSE
3863,15582,"Air",40,0,3,FALSE
266,8242,"Argon",150,1.447929942,3,FALSE
233,7037,"Argon",70,3.136030782,3,FALSE
265,8240,"Argon",130,1.23434272,3,FALSE
2849,8238,"Argon",50,2.859034413,3,FALSE
224,6902,"Argon",70,2.154919947,3,FALSE
220,8136,"Argon",70,3.328817164,3,FALSE
2503,8231,"Argon",110,2.296709991,3,FALSE
210,8237,"Air",60,1.15003393,3,FALSE
263,8236,"Argon",60,4.107772875,3,FALSE
260,8139,"Argon",80,2.020897992,3,FALSE
223,8237,"Argon",60,2.701825362,3,FALSE
3198,7863,"Nitrogen",50,3.183263084,3,FALSE
3431,7578,"Nitrogen",50,3.35013164,3,FALSE
3669,8235,"Argon",70,3.289969786,3,FALSE
260,8138,"Argon",70,2.623749831,3,FALSE
260,8138,"Argon",70,4.146614403,3,FALSE
3565,7309,"Nitrogen",60,2.541682267,3,FALSE
3787,8186,"Nitrogen",30,1.915435722,3,FALSE
263,3029,"Argon",100,1.485817454,3,FALSE
